Actor_Name,Number_of_Movies,Average_Revenue,Star_Power_Score
Rupert Grint,11,761915449.9636364,603099279.4479852
Clifton Webb,1,2222985568.0,581917348.2612936
Mindy Cohn,11,704508932.8727273,563632298.9479852
Mark Hamill,14,672295774.3,562139966.4088296
Oliver Wright,1,2081794005.6,558385421.194627
Matt Vines,1,2081794005.6,558385421.194627
Louis Tomlinson,1,2081794005.6,558385421.194627
Carrie Fisher,9,722563781.8888888,555113754.1834116
Kim Nam-joon,2,1277971651.5,546351689.223966
Min Yoon-gi,2,1277971651.5,546351689.223966
Kim Seok-jin,2,1277971651.5,546351689.223966
Zoe Saldaña,16,635891169.2625,544894153.7984649
Yui Horie,3,1016028686.4666666,539575572.6209702
James Earl Jones,8,717835623.5,539323346.8898278
Laura Bailey,10,681382297.0,538822766.1045175
Noah James,2,1238734272.1,535141009.39539456
Kaviyoor Ponnamma,1,1916346674.6,530810866.0279603
KPAC Lalitha,1,1916346674.6,530810866.0279603
M G Soman,1,1916346674.6,530810866.0279603
Jacob Batalon,1,1910048245.0,529761127.76129365
Giulio Berruti,4,871682595.6999999,528360989.3741957
Melanie Zanetti,4,871682595.6999999,528360989.3741957
Frank Welker,34,561833519.5941176,522329697.1222503
Robert Downey Jr.,26,567380614.823077,516787564.7408956
Benedict Cumberbatch,10,643990437.14,513894859.5311841
Ian McKellen,11,627849079.1636363,510928649.5229851
Emma Watson,19,573212677.9789474,506648308.46532345
Casey Kasem,12,607237646.6999999,503257075.4098683
John Oliver,3,916343582.0,502193658.4459703
Barbara Stanwyck,2,1112742784.0,499143441.3668231
Grey DeLisle,21,557268371.9809523,498890551.27568305
Franco Escamilla,1,1714444953.8,497160579.22796035
Matthew Lillard,23,544181547.8173913,492310504.33456284
Ty Simpkins,1,1669963641.0,489747027.094627
Park Soo-bin-III,2,1073961125.9,488062967.623966
Isabella Castillo,1,1656280462.4,487466497.3279604
Cecilia Toussaint,1,1656280462.4,487466497.3279604
Idina Menzel,8,633285400.3,487292440.30521244
David F. Sandberg,1,1644265184.4,485463950.994627
Chris Pratt,15,562347649.1733333,485186662.9583881
Richard Armitage,6,676020517.0666667,484058329.45161474
Alan Estrada,2,1057759134.2,483433827.13825166
Matt Ryan,4,769583438.2,482983586.04086244
Maaya Sakamoto,13,571071534.4769231,482913803.87598675
Ray Romano,7,645251225.5428572,482106425.03064686
Lin-Manuel Miranda,3,852529095.5333333,478263226.0209702
Bryce Dallas Howard,8,618256592.6,478043943.25905865
Naomi Tani,5,695898626.4,474801165.3567762
Jonathan Roumie,3,843159750.7333332,474749721.7209703
Simu Liu,3,842535104.5333333,474515479.3959702
Stuart Allan,4,749170222.45,473911045.70752907
Jun Miho,1,1569323843.8,472973727.56129366
Rumi Kagawa,1,1569323843.8,472973727.56129366
Tomoka Takase,1,1569323843.8,472973727.56129366
Rodrigo Noya,1,1569323843.8,472973727.56129366
Kang Seo,1,1569323843.8,472973727.56129366
Florencia Raggi,1,1569323843.8,472973727.56129366
Ha Yeon,1,1569323843.8,472973727.56129366
Luis Cao,1,1569323843.8,472973727.56129366
Paras Patel,1,1569323843.8,472973727.56129366
Riona Suzushiro,1,1569323843.8,472973727.56129366
Miyuki Oka,1,1569323843.8,472973727.56129366
Rina Ayana,1,1569323843.8,472973727.56129366
Ye Seul,1,1569323843.8,472973727.56129366
Mark Ruffalo,18,530395326.1666667,470244973.5899027
Troy Baker,12,556622719.15,467528891.2569272
Shin Yeon-ho,3,822260625.2666668,466912549.6709703
Annie Potts,3,821625915.3333334,466674533.4459703
Chiwetel Ejiofor,13,542398088.8615385,462205204.2648757
Ellen DeGeneres,2,980550488.5,461374214.0811088
Rhett Wellington,2,976209647.8000001,460133973.8811089
Stephanie Sigman,2,974825024.7,459738367.28110886
Satsuki Yukino,4,716978040.65,459603409.35197353
Morio Kazama,2,970073982.6999999,458380926.7096802
Yvonne Yung Hung,4,712078570.9000001,457425867.2408625
Rie Takahashi,8,584750799.525,457424993.67444324
Paige O'Hara,4,710734049.5,456828302.17419577
Robby Benson,4,710734049.5,456828302.17419577
Joo Ye-bin,4,695927653.8,450247681.8630847
Anri Suzuki,1,1430410849.2,449821561.794627
Jeff Bennett,12,530998978.43333334,449441544.8686919
Naya Rivera,2,937353330.4,449032168.90968025
Sarah Vowell,2,937123225.5,448966424.65253747
Howard Vernon,2,936494031.2,448786654.8525374
Kate Higgins,5,643018542.4,448361123.3567762
Koji Tsujitani,3,772338995.3333334,448191938.4459703
Hiroshi Kamiya,7,585151473.0571429,447048236.0806469
Misato Fukuen,2,927738960.3,446285206.02396595
Yumi Kakazu,10,541365661.1000001,445478342.1711842
Zazie Beetz,3,764804784.0666666,445366609.2209703
Robert Wagner,3,763663765.6666666,444938727.3209703
James Cameron,4,682045412.85,444077796.996418
Jimmy Wong Shu-Kei,3,759182735.7333332,443258341.0959703
Denis Leary,8,560945931.375,442775844.04367405
Han Seo-ah,4,678454299.3499999,442481746.55197346
Mario Maurer,3,753567433.7333332,441152602.8459703
Mamoru Miyano,15,502314020.9866666,440161441.81838804
Jean Marais,5,621584071.6,437643887.9567762
Scott Menville,5,620096676.84,436900190.5767762
Kenyu Horiuchi,3,742009340.3333334,436818317.8209703
Salli Saffioti,7,567329561.8285714,436652121.19731355
America Young,7,566740151.3142858,436308298.39731354
Joaquín Cosío,6,584917318.5333333,434365675.7061601
Yoon Sul-hee,2,884726935.9,433996056.1953945
Nobuyo Oyama,6,583423211.9000001,433550708.45161474
Erica Lindbeck,7,560345371.542857,432578010.1973135
Chris Hemsworth,18,481899368.7666667,432291615.62468535
Jason O'Mara,7,558723156.7142857,431631718.2139802
Salvatore Vecchio,2,875197129.0,431273254.223966
Taylor Swift,4,652236645.7,430829456.04086244
Ji Eun-seo,7,556875266.2571428,430553782.1139802
Rikiya Koyama,5,605618844.8,429661274.55677617
Debi Derryberry,6,574970575.5666667,428940179.5425238
Minako Ogawa,3,720939739.7333332,428917217.5959703
Dee Bradley Baker,7,552349545.057143,427913778.08064693
Cecilia Suárez,5,600005680.72,426854692.5167762
Greg Cipes,3,715254216.3333334,426785146.3209703
Nicola Peltz Beckham,3,713344851.2666667,426069134.42097026
Elvis Tsui,6,569611213.1,426016890.924342
Mauricio Ochmann,4,640688079.6500001,425696760.0186403
Junya Enoki,2,854736294.0,425427301.36682314
Marcel André,2,853677163.0,425124692.5096803
Josette Day,2,853677163.0,425124692.5096803
Richard White,2,853677163.0,425124692.5096803
Omar Chaparro,8,531717187.3000001,424788924.61290485
Consuelo Duval,2,848390308.2,423614162.5668231
Daniel Radcliffe,23,460257938.29565215,423373253.65599144
Alfonso Herrera,3,705887581.7333333,423272658.3459703
Benjamin Flores Jr.,3,705432420.6,423101972.9209703
Ah Reum,5,592346173.36,423024938.8367762
Yuichi Nakamura,6,562592644.8333333,422188580.9607056
Maud Guillaumin,1,1263824107.4,422057104.8279604
Mark Eliot,1,1263824107.4,422057104.8279604
Jonathan Kuntz,1,1263824107.4,422057104.8279604
Léa Seydoux,6,560159504.3333334,420861413.4152511
Kayo Kiyomoto,1,1256345435.2,420810659.4612937
Megumi Oohara,13,484879745.4923077,420664178.498209
John DiMaggio,7,534114644.7714286,417276752.9139802
Terumi Azuma,2,824215107.3,416706962.3096802
Rie Kugimiya,9,505820870.0,415779025.11198306
Neil Druckmann,3,685750241.0,415721155.5709703
Chloe Farnworth,2,819828072.0,415453523.65253747
Tom Holland,12,482362006.3666666,415109564.58633894
Mayu Hotta,1,1220832375.0,414891816.094627
Tomokazu Seki,6,548490801.9333334,414496666.6516147
Malachi Weir,1,1214472997.6,413831919.8612937
Sam Page,1,1214472997.6,413831919.8612937
Kisho Taniyama,1,1213425726.6,413657374.694627
Silverio Palacios,2,811911103.8,413191532.7382517
Shawn Ashmore,5,568887756.52,411295730.4167762
Takahiro Sakurai,11,482581993.1818182,411057527.91048515
Toru Furuya,12,476431626.25,410923413.91575074
Kappei Yamaguchi,25,442182443.752,410769320.51225877
Oh Joo-ha,2,801778595.4,410296530.3382517
Lauren Parkinson,2,799588303.9,409670732.7668232
Marah Fairclough,2,799588303.9,409670732.7668232
Mena Massoud,3,665917537.6,408283891.7959703
Deedee Magno,1,1180869057.8,408231263.22796035
Michaela Dietz,1,1180869057.8,408231263.22796035
Jack Griffo,1,1180818577.6,408222849.8612937
David Schwimmer,6,536558765.8999999,407988283.36070555
Issey Takahashi,2,793065920.4000001,407807194.623966
Lupita Nyong'o,6,534969133.1666667,407121210.96070564
Kensho Ono,7,516487790.71428573,406994421.3806469
Alyssa Milano,5,559026644.9200001,406365174.6167762
Amy Manson,1,1168752661.8,406211863.894627
Nina Bergman,1,1168752661.8,406211863.894627
Luke Allen-Gale,1,1168752661.8,406211863.894627
Scott Innes,3,658145881.6,405369520.7959703
Aining Yao,1,1160524937.0,404840576.42796034
Greg Hsu,1,1160524937.0,404840576.42796034
Diane Lin,1,1160524937.0,404840576.42796034
Yuriko Azuma,1,1156945606.4,404244021.3279604
Kô Matsuura,1,1156945606.4,404244021.3279604
Rumi Segawa,1,1156945606.4,404244021.3279604
Kevin Michael Richardson,3,655032209.5333333,404201893.7709702
Trace Adkins,2,780263817.9,404149451.05253744
Karine Gambier,3,654816196.1333333,404120888.74597025
Noah Centineo,7,511551632.37142855,404114995.68064684
Hee Jin,1,1155101096.0,403936602.92796034
Joon Ho,1,1155101096.0,403936602.92796034
Johnathon Schaech,4,591404550.25,403792969.17419577
Takuya Eguchi,2,778600381.2,403674183.42396605
Khary Payton,4,591135275.85,403673291.6630846
Asami Seto,3,653069906.8,403466030.24597025
Peter Cullen,5,550485648.9200001,402094676.6167762
Letitia Wright,3,649347855.8666667,402070261.1459702
Kelly Sheridan,24,432826041.59999996,401942879.9988883
Vincent Martella,5,550039716.5200001,401871710.41677624
Ed Begley Jr.,3,648767654.1999999,401852685.5209702
Chris Sanders,4,586169893.35,401466454.996418
Ynairaly Simo,1,1139731798.4,401375053.3279604
Sam Worthington,19,439908294.6421053,401115671.65699005
Lili Reinhart,2,769632438.8,401111914.16682315
Ayumu Murase,4,585124906.6,401002016.4408624
Jordan Rodrigues,3,646479889.0,400994773.5709703
Dennis Farina,1,1136586915.4,400850906.1612937
Takashi Tachibana,1,1136130193.2,400774785.794627
Ana Claudia Talancón,1,1135762456.4,400713496.3279604
James Andrew Fraser,2,767155543.6,400404229.823966
Wasabi Mizuta,12,460836912.58333343,399915380.7392802
Diana Bovio,3,642177991.8000001,399381562.12097025
Yosuke Eguchi,1,1125684609.8,399033855.22796035
Momo Asakura,2,762341288.4,399028728.3382517
Keiji Fujiwara,6,519798735.3333333,398846448.50616014
Noriko Ohara,6,519713574.1000001,398799996.92434204
Hank Azaria,8,489371139.575,398729818.3205971
Rosie Huntington-Whiteley,1,1123794079.0,398718766.76129365
Nobunaga Shimazaki,4,579340173.2,398431023.81864023
Takumi Kitamura,4,578502751.2500001,398058836.28530693
Dave B. Mitchell,1,1119422066.8,397990098.06129366
Sean Schemmel,1,1119422066.8,397990098.06129366
Jack De Sena,1,1119422066.8,397990098.06129366
Trevor Howard,2,756861243.7,397463001.28110886
Lee Sul-ah-I,4,576912006.9,397351838.79641795
Giada De Laurentiis,2,755387378.9,397041897.05253744
Mari Iijima,1,1112756596.4,396879186.3279604
Mika Doi,1,1112756596.4,396879186.3279604
Arihiro Hase,1,1112756596.4,396879186.3279604
Kaito Ishikawa,2,754208866.5999999,396705179.25253737
Adrián Uribe,1,1109873157.4,396398613.1612937
Niko Antonyan,1,1109873157.4,396398613.1612937
Michael Des Barres,2,752955780.2,396347154.5668231
Soichiro Hoshi,2,751443045.8,395914944.7382517
Liv Tyler,8,484444191.425,395697850.2282894
Aaron Dessner,1,1104642091.0,395526768.76129365
Jack Antonoff,1,1104642091.0,395526768.76129365
Michael S. New,1,1103505485.2,395337334.4612937
Pimchanok Luevisadpaibul,1,1103505485.2,395337334.4612937
Fred Armisen,3,631040211.3333334,395204894.4459703
Zach Callison,4,571638873.4499999,395008223.9297513
Michiko Nomura,7,495683071.5714286,394858335.2139802
Jacques Colimon,2,746815645.5999999,394592830.39539456
Wolfgang Novogratz,2,745475432.6,394209912.39539456
Danny Ramirez,2,744947170.9,394058980.48110884
Vin Diesel,21,427106865.4190476,393760103.6679908
Richard Harmon,3,627152849.9333334,393747133.9209703
Katie Douglas,3,625781438.3333334,393232854.5709703
Igor Petrenko,1,1090691619.2,393201690.1279603
Sergey Gubanov,1,1090691619.2,393201690.1279603
Ivan Batarev,1,1090691619.2,393201690.1279603
Tom Hollander,2,740582820.2,392812023.1382517
Damián Alcázar,5,531680334.32,392692019.3167762
Akira Ishihama,1,1087353777.0,392645383.094627
Brigitte Kali Canales,2,738534844.1,392226887.1096803
Annelise Hesme,1,1084813489.0,392222001.76129365
Pascal Demolon,1,1084813489.0,392222001.76129365
Sara Martins,1,1084813489.0,392222001.76129365
Ahn So-hee,12,449798763.2833333,392123745.9392801
Yuki Mamiya,3,620951010.2666667,391421444.04597026
Donna Lynne Champlin,1,1079234048.0,391292094.92796034
Akiko Hiramatsu,2,734990220.0,391214137.36682314
Miranda Cosgrove,7,488910647.71428573,390907754.6306469
Max Hughes,1,1075683451.4,390700328.8279604
Alejandro Bravo Yañez,1,1075683451.4,390700328.8279604
Miguel Ángel Rogel,1,1075683451.4,390700328.8279604
Anna Gunn,1,1075683451.4,390700328.8279604
Roger Vernon,1,1075683451.4,390700328.8279604
Rubén Doblas Gundersen,1,1075683451.4,390700328.8279604
David Attenborough,1,1075683451.4,390700328.8279604
Hae Il,9,466504844.5555556,390504437.3262688
John Rhys-Davies,4,561238030.5,390385627.06308466
Stephanie Cayo,2,731722806.8000001,390280590.7382517
Aya Hirano,3,617479934.1333333,390119790.49597025
Ikkyu Juku,3,617172589.1333333,390004536.12097025
Hiroaki Iwanaga,3,616453855.5333333,389735011.0209702
Aki Toyosaki,3,616304746.0666667,389679094.9709703
Bella Ramsey,3,614813179.2666667,389119757.42097026
